ID,keyword,year,result_text,Timestamp
846,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:29:32
847,ISL News,2024,Guided Search Filters,2024-04-19 08:29:32
848,ISL News,2024,More results,2024-04-19 08:29:32
849,ISL News,2024,,2024-04-19 08:29:32
850,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:29:32
851,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:29:32
852,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:29:32
853,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:29:32
854,ISL News,2024,Guided Search Filters,2024-04-19 08:29:32
855,ISL News,2024,More results,2024-04-19 08:29:32
856,ISL News,2024,,2024-04-19 08:29:32
857,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:29:32
858,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:29:32
859,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:29:32
860,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:29:32
861,ISL News,2024,Guided Search Filters,2024-04-19 08:29:32
862,ISL News,2024,More results,2024-04-19 08:29:32
863,ISL News,2024,,2024-04-19 08:29:32
864,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:29:32
865,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:29:32
866,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:29:32
867,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:29:32
868,ISL News,2024,Guided Search Filters,2024-04-19 08:29:32
869,ISL News,2024,More results,2024-04-19 08:29:32
870,ISL News,2024,,2024-04-19 08:29:32
871,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:29:32
872,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:29:32
873,ISL News,2024,,2024-04-19 08:31:56
874,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:31:56
875,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:31:56
876,ISL News,2024,More results,2024-04-19 08:31:56
877,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:31:56
878,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:31:56
879,ISL News,2024,Guided Search Filters,2024-04-19 08:31:56
880,ISL News,2024,,2024-04-19 08:31:56
881,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:31:56
882,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:31:56
883,ISL News,2024,More results,2024-04-19 08:31:56
884,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:31:56
885,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:31:56
886,ISL News,2024,Guided Search Filters,2024-04-19 08:31:56
887,ISL News,2024,,2024-04-19 08:31:56
888,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:31:56
889,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:31:56
890,ISL News,2024,More results,2024-04-19 08:31:56
891,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:31:56
892,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:31:56
893,ISL News,2024,Guided Search Filters,2024-04-19 08:31:56
894,ISL News,2024,,2024-04-19 08:31:56
895,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:31:56
896,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:31:56
897,ISL News,2024,More results,2024-04-19 08:31:56
898,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:31:56
899,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:31:56
900,ISL News,2024,Guided Search Filters,2024-04-19 08:31:56
901,ISL News,2024,,2024-04-19 08:31:56
902,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:31:56
903,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:31:56
904,ISL News,2024,More results,2024-04-19 08:31:56
905,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:31:56
906,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:31:56
907,ISL News,2024,Guided Search Filters,2024-04-19 08:31:56
908,ISL News,2024,,2024-04-19 08:31:56
909,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:31:56
910,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:31:56
911,ISL News,2024,More results,2024-04-19 08:31:56
912,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:31:56
913,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:31:56
914,ISL News,2024,Guided Search Filters,2024-04-19 08:31:56
915,ISL News,2024,,2024-04-19 08:31:56
916,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:31:56
917,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:31:56
918,ISL News,2024,,2024-04-19 08:34:52
919,ISL News,2024,Guided Search Filters,2024-04-19 08:34:52
920,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:34:52
921,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:34:52
922,ISL News,2024,More results,2024-04-19 08:34:52
923,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:34:52
924,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:34:52
925,ISL News,2024,,2024-04-19 08:34:52
926,ISL News,2024,Guided Search Filters,2024-04-19 08:34:52
927,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:34:52
928,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:34:52
929,ISL News,2024,More results,2024-04-19 08:34:52
930,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:34:52
931,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:34:52
932,ISL News,2024,,2024-04-19 08:34:52
933,ISL News,2024,Guided Search Filters,2024-04-19 08:34:52
934,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:34:52
935,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:34:52
936,ISL News,2024,More results,2024-04-19 08:34:52
937,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:34:52
938,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:34:52
939,ISL News,2024,,2024-04-19 08:34:52
940,ISL News,2024,Guided Search Filters,2024-04-19 08:34:52
941,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:34:52
942,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:34:52
943,ISL News,2024,More results,2024-04-19 08:34:52
944,ISL News,2024,ISL Latest News and Updates - Indian Super League,2024-04-19 08:34:52
945,ISL News,2024,HT Kick Off: ISL's agonising 17-day break and AIFF's ...,2024-04-19 08:34:52
946,ISL News,2024,,2024-04-19 08:34:52
947,ISL News,2024,Guided Search Filters,2024-04-19 08:34:52
948,ISL News,2024,Which teams have qualified for the ISL playoffs and their road ...,2024-04-19 08:34:52
949,ISL News,2024,ISL: Odisha plot a KO punch on Blasters at Kalinga,2024-04-19 08:34:52
950,ISL News,2024,More results,2024-04-19 08:34:52
